,Year,State,County,Average Number Unemployed,Average Percent Unemployed,Number of Crimes,Total Labor Force,Crimes Per 100 Workers
452,2012,AR,faulkner,3956.583333,6.608333332999999,8993,59722.916670000006,15.057871419259335
453,2013,AR,faulkner,3841.833333,6.483333332999999,8895,59299.833329999994,15.000042159477687
454,2014,AR,faulkner,3277.25,5.541666667,9830,59046.0,16.64803712359855
455,2015,AR,faulkner,2792.166667,4.666666667,9832,59915.416670000006,16.409799925372027
456,2010,AR,lawrence,708.0,9.508333333,561,7445.416667,7.534836867982099
457,2011,AR,lawrence,739.6666667000001,9.9,523,7470.666667,7.000713902953742
458,2012,AR,lawrence,659.25,9.1,419,7235.5,5.790892129085758
459,2013,AR,lawrence,634.25,8.866666667,368,7149.166667,5.147453082869917
460,2014,AR,lawrence,512.0,7.225,425,7084.666667,5.998870800508192
461,2015,AR,lawrence,423.08333330000005,6.0083333329999995,436,7046.416667,6.18754213105065
462,2010,AR,ouachita,1080.333333,9.566666667,1565,11294.25,13.856608451203044
463,2011,AR,ouachita,1165.5,10.53333333,1497,11065.5,13.528534634675344
464,2012,AR,ouachita,1102.916667,10.49166667,1609,10497.66667,15.327215566847485
465,2013,AR,ouachita,991.5,9.666666667000001,1436,10252.83333,14.005884556791093
466,2014,AR,ouachita,793.5,7.958333333,1200,9953.666667,12.055858812094176
467,2015,AR,ouachita,625.9166667000001,6.325,1319,9881.666667,13.347950750097896
468,2010,AR,phillips,904.25,10.54166667,1765,8585.25,20.55851605952069
469,2011,AR,phillips,1025.583333,12.125,2273,8447.0,26.908961761572154
470,2012,AR,phillips,921.75,11.575,2231,7969.333333,27.994813452735272
471,2013,AR,phillips,863.0833332999998,11.35,2053,7594.916667,27.031237997913898
472,2014,AR,phillips,692.6666667000001,9.575,1856,7227.75,25.678807374355785
473,2015,AR,phillips,529.1666667,7.558333332999999,1606,6994.75,22.960077200757713
474,2010,AR,randolph,744.0,10.25833333,259,7259.583333,3.567697870794591
475,2011,AR,randolph,811.3333332999999,11.28333333,108,7186.0,1.5029223490119676
476,2012,AR,randolph,743.3333332999999,10.80833333,136,6867.083333,1.980462350681656
477,2013,AR,randolph,636.8333332999999,9.508333333,1008,6691.833333,15.063136659862177
478,2014,AR,randolph,517.25,7.9,1151,6550.833333,17.570283679815308
479,2015,AR,randolph,441.58333330000005,7.125,1057,6183.833333,17.092957443715765
480,2010,AR,woodruff,378.75,10.44166667,40,3629.583333,1.1020548732501028
481,2011,AR,woodruff,391.6666667,10.96666667,28,3570.666667,0.7841672889484533
482,2012,AR,woodruff,344.75,10.18333333,118,3383.083333,3.4879424591460393
483,2013,AR,woodruff,307.1666667,9.483333333,66,3237.083333,2.0388724419656454
484,2014,AR,woodruff,240.25,7.583333333,275,3166.666667,8.684210525401662
485,2015,AR,woodruff,193.58333330000002,6.3833333329999995,214,3030.833333,7.060764367012457
486,2010,AR,cleveland,326.4166667,8.408333333,241,3888.833333,6.197231389551042
487,2011,AR,cleveland,330.9166667,8.525,270,3885.0,6.94980694980695
488,2012,AR,cleveland,275.9166667,7.35,266,3751.083333,7.091284740594165
489,2013,AR,cleveland,271.8333333,7.558333332999999,290,3599.666667,8.056301508652995
490,2014,AR,cleveland,234.75,6.791666667,210,3454.916667,6.078294217797989
491,2015,AR,cleveland,189.41666669999998,5.641666667000001,192,3358.333333,5.717121588656786
492,2010,AR,craighead,3546.5,7.433333332999999,7658,47795.08333,16.02256857075763
493,2011,AR,craighead,3633.666667,7.375,8530,49189.41667,17.341128595253984
