,Year,Average Total Employment,county,state
5288,2012,2767.083333,Rooks County,KS
5289,2013,2778.833333,Rooks County,KS
5290,2014,2848.916667,Rooks County,KS
5291,2015,2809.416667,Rooks County,KS
5292,2010,2767.166667,Scott County,KS
5293,2011,2724.416667,Scott County,KS
5294,2012,2774.416667,Scott County,KS
5295,2013,2838.166667,Scott County,KS
5296,2014,2850.5,Scott County,KS
5297,2015,2885,Scott County,KS
5298,2010,2333.083333,Smith County,KS
5299,2011,2265.166667,Smith County,KS
5300,2012,2215,Smith County,KS
5301,2013,2156.75,Smith County,KS
5302,2014,2116.333333,Smith County,KS
5303,2015,2093.75,Smith County,KS
5304,2010,1509.333333,Trego County,KS
5305,2011,1493.333333,Trego County,KS
5306,2012,1508.916667,Trego County,KS
5307,2013,1490.166667,Trego County,KS
5308,2014,1488.166667,Trego County,KS
5309,2015,1509,Trego County,KS
5310,2010,2768.583333,Barber County,KS
5311,2011,2778,Barber County,KS
5312,2012,2729.75,Barber County,KS
5313,2013,2761.25,Barber County,KS
5314,2014,2715,Barber County,KS
5315,2015,2661.916667,Barber County,KS
5316,2010,15000.83333,Barton County,KS
5317,2011,15035.25,Barton County,KS
5318,2012,14962.5,Barton County,KS
5319,2013,15097.08333,Barton County,KS
5320,2014,15455.25,Barton County,KS
5321,2015,14590.5,Barton County,KS
5322,2010,33008.33333,Butler County,KS
5323,2011,32444.33333,Butler County,KS
5324,2012,31995.66667,Butler County,KS
5325,2013,31822.66667,Butler County,KS
5326,2014,31943.5,Butler County,KS
5327,2015,32034.5,Butler County,KS
5328,2010,4846.333333,Coffey County,KS
5329,2011,4648.5,Coffey County,KS
5330,2012,4519.333333,Coffey County,KS
5331,2013,4942.5,Coffey County,KS
5332,2014,4893.416667,Coffey County,KS
5333,2015,4740.5,Coffey County,KS
5334,2010,17258.16667,Cowley County,KS
5335,2011,17095.66667,Cowley County,KS
5336,2012,17215.25,Cowley County,KS
5337,2013,17162.83333,Cowley County,KS
5338,2014,17259.41667,Cowley County,KS
5339,2015,17042.16667,Cowley County,KS
5340,2010,20174.5,Finney County,KS
5341,2011,20742.5,Finney County,KS
5342,2012,20153.66667,Finney County,KS
5343,2013,19979.83333,Finney County,KS
5344,2014,20196.33333,Finney County,KS
5345,2015,20130,Finney County,KS
5346,2010,1388.833333,Graham County,KS
5347,2011,1415.916667,Graham County,KS
5348,2012,1385.666667,Graham County,KS
5349,2013,1351.083333,Graham County,KS
5350,2014,1312.166667,Graham County,KS
5351,2015,1272.75,Graham County,KS
5352,2010,2936.833333,Harper County,KS
5353,2011,2894.833333,Harper County,KS
5354,2012,3106.833333,Harper County,KS
5355,2013,3103.583333,Harper County,KS
5356,2014,2979.333333,Harper County,KS
5357,2015,2854.833333,Harper County,KS
5358,2010,17774.25,Harvey County,KS
5359,2011,17386.83333,Harvey County,KS
5360,2012,17248.41667,Harvey County,KS
5361,2013,17109.83333,Harvey County,KS
5362,2014,17109.16667,Harvey County,KS
5363,2015,17208.16667,Harvey County,KS
5364,2010,1557.5,Jewell County,KS
5365,2011,1527.666667,Jewell County,KS
5366,2012,1448.666667,Jewell County,KS
5367,2013,1421.75,Jewell County,KS
5368,2014,1379.416667,Jewell County,KS
5369,2015,1374.5,Jewell County,KS
5370,2010,2154.5,Kearny County,KS
5371,2011,2178.583333,Kearny County,KS
5372,2012,2169.666667,Kearny County,KS
5373,2013,2098.666667,Kearny County,KS
5374,2014,2117.166667,Kearny County,KS
5375,2015,2147.75,Kearny County,KS
5376,2010,6742,Marion County,KS
5377,2011,6471.666667,Marion County,KS
5378,2012,6344.5,Marion County,KS
5379,2013,6209.916667,Marion County,KS
5380,2014,6138.833333,Marion County,KS
5381,2015,6162.333333,Marion County,KS
5382,2010,3311.083333,Morris County,KS
5383,2011,3289,Morris County,KS
5384,2012,3202.666667,Morris County,KS
5385,2013,3100.083333,Morris County,KS
5386,2014,3096.333333,Morris County,KS
5387,2015,3104.416667,Morris County,KS
5388,2010,1756.25,Morton County,KS
5389,2011,1674.333333,Morton County,KS
5390,2012,1655.583333,Morton County,KS
5391,2013,1593.25,Morton County,KS
5392,2014,1487.833333,Morton County,KS
5393,2015,1435.583333,Morton County,KS
5394,2010,5820.5,Nemaha County,KS
5395,2011,5899.666667,Nemaha County,KS
5396,2012,5996.5,Nemaha County,KS
5397,2013,5823.166667,Nemaha County,KS
5398,2014,5846.666667,Nemaha County,KS
5399,2015,5939,Nemaha County,KS
5400,2010,7410.333333,Neosho County,KS
5401,2011,7399.666667,Neosho County,KS
5402,2012,6895.083333,Neosho County,KS
5403,2013,6733.166667,Neosho County,KS
5404,2014,6392.833333,Neosho County,KS
5405,2015,6268.083333,Neosho County,KS
5406,2010,3098.333333,Norton County,KS
5407,2011,3137.25,Norton County,KS
5408,2012,3143.916667,Norton County,KS
5409,2013,3084.5,Norton County,KS
