,Year,county,state,count
643,2010,IRON,UT,2373
644,2010,IROQUOIS,IL,680
645,2010,ISABELLA,MI,2924
646,2010,ISANTI,MN,1176
647,2010,ISLE OF WIGHT,VA,1354
648,2010,ISSAQUENA,MS,0
649,2010,ITASCA,MN,1665
650,2010,ITAWAMBA,MS,182
651,2010,IZARD,AR,266
652,2010,JACK,TX,253
653,2010,JACKSON,AL,1940
654,2010,JACKSON,AR,1528
655,2010,JACKSON,IA,0
656,2010,JACKSON,IL,2222
657,2010,JACKSON,IN,3350
658,2010,JACKSON,MI,8058
659,2010,JACKSON,MN,128
660,2010,JACKSON,MO,26399
661,2010,JACKSON,MS,11036
662,2010,JACKSON,NC,1936
663,2010,JACKSON,TX,465
664,2010,JAMES CITY,VA,2076
665,2010,JASPER,IA,1426
666,2010,JASPER,IL,271
667,2010,JASPER,IN,576
668,2010,JASPER,MO,4067
669,2010,JASPER,MS,48
670,2010,JASPER,TX,1551
671,2010,JAY,IN,661
672,2010,JEFF DAVIS,TX,28
673,2010,JEFFERSON,AL,32317
674,2010,JEFFERSON,AR,10265
675,2010,JEFFERSON,IA,702
676,2010,JEFFERSON,ID,401
677,2010,JEFFERSON,IL,3391
678,2010,JEFFERSON,IN,66
679,2010,JEFFERSON,MO,9531
680,2010,JEFFERSON,MS,96
681,2010,JEFFERSON,MT,182
682,2010,JEFFERSON,TX,17983
683,2010,JEFFERSON DAVIS,MS,0
684,2010,JENNINGS,IN,1222
685,2010,JEROME,ID,647
686,2010,JERSEY,IL,926
687,2010,JIM HOGG,TX,70
688,2010,JIM WELLS,TX,3781
689,2010,JO DAVIESS,IL,725
690,2010,JOHNSON,AR,1306
691,2010,JOHNSON,IA,5592
692,2010,JOHNSON,IL,275
693,2010,JOHNSON,IN,7333
694,2010,JOHNSON,MO,2790
695,2010,JOHNSON,TX,6025
696,2010,JOHNSTON,NC,9356
697,2010,JONES,IA,508
698,2010,JONES,MS,4419
699,2010,JONES,NC,42
700,2010,JONES,TX,440
701,2010,JUAB,UT,501
702,2010,JUDITH BASIN,MT,14
703,2010,KALAMAZOO,MI,18675
704,2010,KALKASKA,MI,1127
705,2010,KANABEC,MN,1100
706,2010,KANDIYOHI,MN,1970
707,2010,KANE,IL,7329
708,2010,KANE,UT,118
709,2010,KANKAKEE,IL,6462
710,2010,KARNES,TX,880
711,2010,KAUAI,HI,5454
712,2010,KAUFMAN,TX,6205
713,2010,KEMPER,MS,85
714,2010,KENDALL,IL,2860
715,2010,KENDALL,TX,1003
716,2010,KENEDY,TX,8
717,2010,KENNEBEC,ME,6427
718,2010,KENT,DE,11747
719,2010,KENT,MD,852
720,2010,KENT,MI,37940
721,2010,KENT,RI,8035
722,2010,KENT,TX,46
723,2010,KEOKUK,IA,10
724,2010,KERR,TX,2323
725,2010,KEWEENAW,MI,82
726,2010,KIDDER,ND,12
727,2010,KIMBLE,TX,262
728,2010,KING,TX,10
729,2010,KING AND QUEEN,VA,158
730,2010,KING GEORGE,VA,853
731,2010,KING WILLIAM,VA,304
732,2010,KINNEY,TX,45
733,2010,KITTSON,MN,70
734,2010,KLEBERG,TX,3702
735,2010,KNOX,IL,3466
736,2010,KNOX,IN,2401
737,2010,KNOX,ME,1623
738,2010,KNOX,MO,214
739,2010,KNOX,TX,71
740,2010,KOOCHICHING,MN,632
741,2010,KOOTENAI,ID,7929
742,2010,KOSCIUSKO,IN,2882
743,2010,KOSSUTH,IA,256
744,2010,LA SALLE,TX,146
745,2010,LAC QUI PARLE,MN,108
746,2010,LACLEDE,MO,2563
747,2010,LAFAYETTE,AR,194
748,2010,LAFAYETTE,MO,1039
749,2010,LAFAYETTE,MS,1108
750,2010,LAGRANGE,IN,488
751,2010,LAKE,IL,22823
752,2010,LAKE,IN,44437
753,2010,LAKE,MI,531
754,2010,LAKE,MN,188
755,2010,LAKE,MT,1422
756,2010,LAKE OF THE WOODS,MN,30
757,2010,LAMAR,AL,149
758,2010,LAMAR,MS,1255
759,2010,LAMAR,TX,4521
760,2010,LAMB,TX,911
761,2010,LAMOURE,ND,4
762,2010,LAMPASAS,TX,620
763,2010,LANCASTER,VA,277
764,2010,LAPEER,MI,2506
